"Xloc","Yloc","long","lat","Landuse","Rock","Cd","Co","Cr","Cu","Ni","Pb","Zn"
2.386,3.077,6.85041335871979,47.1390734512343,"Meadow","Sequanian",1.74,9.32,38.32,25.72,21.32,77.36,92.56
2.544,1.972,6.85267422977897,47.1291761252085,"Pasture","Kimmeridgian",1.335,10,40.2,24.76,29.72,77.88,73.56
2.807,3.347,6.85588566129028,47.1415356763132,"Pasture","Sequanian",1.61,10.6,47,8.88,21.4,30.8,64.8
4.308,1.933,6.8757993322966,47.1289924172863,"Meadow","Kimmeridgian",2.15,11.92,43.52,22.7,29.72,56.4,90
4.383,1.081,6.87692510114699,47.1213564384817,"Meadow","Quaternary",1.565,16.32,38.52,34.32,26.2,66.4,88.4
3.244,4.519,6.86141460582716,47.1520905570117,"Meadow","Quaternary",1.145,3.508,40.4,31.28,22.04,72.4,75.2
3.925,3.785,6.87046734959246,47.1455702024545,"Meadow","Quaternary",0.894,15.08,30.52,27.44,21.76,60,72.4
2.116,3.498,6.8468014416787,47.1428241251866,"Meadow","Argovian",0.525,4.2,25.4,66.12,9.72,141,72.08
1.842,0.989,6.84364431587342,47.1202906736399,"Meadow","Argovian",0.24,4.52,27.96,22.32,11.32,52.4,56.4
1.709,1.843,6.84175336056457,47.1279386593686,"Meadow","Sequanian",0.625,12.08,33.32,18.72,16.88,41.6,75.6
3.8,4.578,6.86869454473813,47.1526721325102,"Meadow","Argovian",3.873,9.84,46,22.24,21.64,46,143.2
2.699,1.199,6.85483807489081,47.1222566733352,"Forest","Argovian",1.425,7.56,40.8,8.76,15.72,56.4,66.8
3.033,4.384,6.85867116885144,47.1508595644986,"Meadow","Quaternary",0.455,2.368,19.24,21.36,7.08,38.36,37.88
4.232,1.588,6.87486125788065,47.1258905053983,"Forest","Kimmeridgian",1.025,8.84,28.32,5.88,17.4,52.8,47.6
4.75,1.369,6.88168616784748,47.1239739052521,"Meadow","Kimmeridgian",0.775,11.96,35.6,17.6,23.76,32.92,70.8
2.341,4.135,6.84964124202786,47.1485599373734,"Meadow","Argovian",0.62,5.32,31,18.52,10.8,42,46.8
2.827,3.667,6.85609305692397,47.1444081448237,"Meadow","Quaternary",0.4,4.68,20.52,3.96,6.68,21.48,25.2
3.043,4.692,6.85874968211913,47.1536234276422,"Meadow","Argovian",0.625,3.536,25.2,8.24,11.32,29.92,31.32
1.687,1.174,6.84158116340235,47.1219352430421,"Meadow","Argovian",0.355,3.64,18.4,21.56,6.64,46.8,39.56
2.235,2.386,6.84855318784312,47.1328603432617,"Meadow","Quaternary",1.585,12.44,40.56,40.88,25.08,88.68,114.28
3.122,1.695,6.86029655415232,47.126746233254,"Meadow","Kimmeridgian",1.885,12.92,44,35.92,34.72,72.88,120.28
2.219,2.774,6.84827656438306,47.1363393710288,"Pasture","Kimmeridgian",1.3,13.04,32.48,8.8,31.52,56.52,71.76
3.185,2.092,6.86105456611725,47.1303135031599,"Meadow","Kimmeridgian",1.575,11.2,35.72,22.12,35,43.68,90.68
3.514,5.119,6.86485282103646,47.1574983236703,"Pasture","Argovian",4.191,9.28,52,15.48,21.76,33.36,145.6
4.459,2.624,6.87766253264014,47.135205089367,"Forest","Kimmeridgian",1.485,6.84,19,11.16,15.84,34.64,82.8
4.339,1.473,6.87628277928075,47.1248688277585,"Meadow","Quaternary",0.915,10.8,32.72,39.8,18.6,64.8,86
4.92,1.417,6.88390594202756,47.1244201455989,"Meadow","Kimmeridgian",0.705,8.56,30.28,15.76,21.96,39.52,66.4
3.648,3.78,6.86683679345786,47.1454993998992,"Meadow","Kimmeridgian",0.62,14.16,28.56,48.8,24.44,63.2,78
2.916,4.916,6.85704617584538,47.1556207655623,"Forest","Argovian",0.885,6.28,27.92,4.52,13.88,37.16,46.8
3.127,1.691,6.86036276151864,47.1267108241768,"Meadow","Kimmeridgian",1.96,13.4,45.2,47.12,35.12,93.92,123.84
3.441,4.719,6.86396356222389,47.1539032478384,"Pasture","Quaternary",3.155,9.28,62.4,48.8,24.28,55.6,151.6
3.336,4.613,6.86260485799486,47.1529424731583,"Meadow","Quaternary",1.28,5.92,38.52,24.96,23.28,49.2,81.6
3.649,2.674,6.86703721858841,47.1355780764977,"Forest","Kimmeridgian",1.785,7.44,23.72,9.652,17.72,58.4,58
3.875,4.924,6.86961944993598,47.1557829523271,"Meadow","Quaternary",1.895,11.48,52,25.28,26.72,35.6,141.6
2.612,4.114,6.85319778417271,47.1483974774061,"Meadow","Argovian",0.57,4.88,27.32,33.8,7.44,58.4,47.6
2.34,4.141,6.84962709781227,47.1486136645061,"Meadow","Argovian",0.54,5.48,35.72,17.4,10.6,36.88,53.2
3.811,1.318,6.86938968212422,47.1234291752336,"Meadow","Kimmeridgian",0.75,12.6,36.2,16.4,26.6,39.8,80.8
3.661,3.788,6.86700586515138,47.1455723845674,"Meadow","Kimmeridgian",0.875,14.64,28.88,65.2,20.8,69.6,76.4
4.34,3.736,6.87591613181652,47.1451693091191,"Pasture","Sequanian",2.818,11.24,35.04,29.12,21.96,46,80.8
2.972,0.988,6.8584514994703,47.1203898334667,"Pasture","Sequanian",3.805,9.16,67.04,112.04,28.88,229.56,219.32
2.286,3.068,6.84910409636912,47.1389831328398,"Meadow","Sequanian",0.605,9.68,27.32,28.8,12.8,56.6,67.16
1.813,2.116,6.84306900397261,47.1303976675033,"Meadow","Sequanian",1.003,11.32,33.48,21.2,20.56,48.8,110
3.379,4.308,6.86322051319033,47.1502105238205,"Meadow","Quaternary",1.9,8.52,46.4,10.28,24.8,36.44,83.6
1.965,2.807,6.84494155987535,47.1366109641639,"Meadow","Sequanian",0.895,12.6,41.6,60.72,24.16,89.68,102.44
3.559,4.009,6.865631188566,47.147545288216,"Pasture","Sequanian",4.02,6.16,60.8,21.08,21.96,52,101.6
2.267,4.189,6.84866175552931,47.1490372470884,"Meadow","Argovian",0.56,6.64,35.12,12.72,11.12,39.64,57.2
2.965,1.002,6.85835738410833,47.1205147574705,"Pasture","Sequanian",1.39,10.36,45.6,57.2,24.6,129.2,149.2
3.12,1.469,6.86030886137551,47.1247186972306,"Forest","Sequanian",1.91,2.12,31.12,11.6,8,69.16,50.4
3.454,4.654,6.86414505743368,47.1533213894857,"Pasture","Quaternary",1.07,7.8,38.24,10.88,19.92,29.88,70.8
1.071,1.567,6.83344041210102,47.1254007649914,"Pasture","Sequanian",0.795,9.96,29.08,9.92,15.28,37.48,65.6
3.573,3.542,6.86589391700732,47.1433573677979,"Meadow","Quaternary",0.55,9.56,26.6,50.4,16,77.2,76
3.331,4.609,6.86253998076841,47.1529061192516,"Meadow","Quaternary",1.255,7,42.8,49.6,25.44,80.4,101.6
3.541,1.739,6.86578015126116,47.1271804591866,"Tillage","Sequanian",2.055,6.32,29.8,10.8,20.8,43.6,59.36
3.303,3.963,6.86228279618624,47.14710852455,"Meadow","Sequanian",1.22,11,34.04,51.6,20.32,80.8,90
3.316,2.987,6.8626192541762,47.1383545154979,"Meadow","Quaternary",0.975,14.6,33,30.1,23.6,48.8,83.2
1.879,1.171,6.84409763700116,47.1219268837976,"Meadow","Argovian",0.465,4,24.64,23.32,9.16,54.8,44.4
1.122,2.267,6.83398636700076,47.1316851065735,"Meadow","Kimmeridgian",1.145,11.08,37.08,14.8,31.56,47.6,74.4
4.423,1.078,6.87744975759029,47.1213332350423,"Meadow","Quaternary",1.525,16.92,38.6,22,26.8,46.8,87.6
1.241,1.155,6.83574013437296,47.1217214946017,"Forest","Argovian",1.455,4.52,20.2,7.28,12.68,36.52,39.6
1.706,1.848,6.84171317661952,47.1279832217515,"Meadow","Sequanian",1.12,11.92,34.84,20.72,19.96,41.2,83.2
3.26,5.42,6.8614709313247,47.1601744886572,"Meadow","Kimmeridgian",1.819,11.72,38.04,17.6,28.6,35.8,82.4
4.081,0.897,6.87299870696247,47.1196777746601,"Meadow","Quaternary",0.495,11.2,22.4,14.32,10.92,32.76,50.4
3.077,2.926,6.85949685445996,47.1377847157121,"Pasture","Kimmeridgian",2.12,10.12,35.32,12.32,21.52,42.4,64.8
3.406,4.741,6.86350090977011,47.1540973004844,"Pasture","Quaternary",2.15,7.32,48,28.96,19.72,42.8,120.8
3.699,3.8,6.86750200461755,47.1456835968997,"Meadow","Kimmeridgian",0.65,11.6,27.44,35.56,19.28,80.8,74
1.619,2.883,6.8403931504057,47.1372592833777,"Meadow","Sequanian",0.84,6.8,30.56,22.84,16.08,50.4,58.8
3.196,1.814,6.86124607164567,47.1278207287134,"Forest","Kimmeridgian",3.925,12.92,25.6,47.4,26.12,84.16,92.36
3.447,4.733,6.86403985450773,47.1540294002157,"Pasture","Quaternary",1.98,8.4,40.8,27.12,17.68,39.92,108
3.009,4.738,6.85829602440423,47.1540328461526,"Meadow","Argovian",0.45,3.536,25.64,12.44,10,34,39.4
3.452,4.736,6.86410490399823,47.1540567827588,"Pasture","Quaternary",2.96,7.2,45.2,38.96,15,70.4,148.4
2.908,1.263,6.8575658812468,47.1228506656986,"Meadow","Argovian",1.685,9.84,31.28,9.4,14.72,34.56,84.32
4.578,1.512,6.87940828300503,47.1252408200977,"Meadow","Kimmeridgian",1.305,13.52,45.52,17.5,27.2,38.96,77.6
3.512,5.124,6.8648257468185,47.1575429879422,"Pasture","Argovian",4.227,9.64,48.4,16.88,22.92,34.64,136.8
3.312,2.991,6.86256614188499,47.1383900201573,"Meadow","Quaternary",0.98,12.52,32.6,22.7,19.4,41.6,72.8
2.159,2.041,6.8476166251798,47.1297582118693,"Meadow","Kimmeridgian",1.57,10.44,37.72,17.44,28.32,49.6,81.6
4.742,1.381,6.88157932961519,47.1240808147892,"Meadow","Kimmeridgian",0.86,11.88,32.72,15.12,23.48,32.84,63.6
3.592,4.027,6.86606077492911,47.1477098597062,"Pasture","Sequanian",2.17,10.84,55.2,12.52,29.48,37.68,74.4
3.152,3.272,6.86042096745631,47.1408956203843,"Meadow","Kimmeridgian",1.56,12.8,42.6,34,23.52,76.4,94
4.781,1.375,6.8820914065497,47.1240305861688,"Meadow","Kimmeridgian",0.81,10.88,27.44,12.08,20.84,36.28,58.8
2.319,2.405,6.84965087088351,47.1330388399572,"Meadow","Quaternary",1.71,12.84,43.4,56.24,26.96,104.68,125.4
3.617,2.084,6.86671772183414,47.1302824442822,"Meadow","Kimmeridgian",0.845,12.8,33.72,27.92,26.2,78.8,79.6
2.278,0.929,6.84936779179053,47.1197943875404,"Meadow","Argovian",0.357,4.08,19.36,13.24,6.56,35.4,46.8
3.792,2.695,6.86890801508429,47.1357798657067,"Forest","Kimmeridgian",1.535,6.76,20.32,5.88,13.4,55.2,52.4
4.113,2.7,6.87311463947357,47.1358547040429,"Forest","Kimmeridgian",1.285,1.552,8.72,13.64,7.16,84.4,65.2
3.043,4.698,6.85874865744549,47.1536772506438,"Meadow","Argovian",1.82,3.924,27.36,7.6,10.44,27.04,39.8
3.271,2.16,6.86217011428209,47.1309316264791,"Meadow","Quaternary",0.945,13.32,37.8,37.4,32.6,59.04,104.36
1.433,1.525,6.8381916510588,47.1250592719306,"Meadow","Quaternary",1.605,7.36,67.6,13.48,16.2,49.6,75.2
3.184,2.098,6.86104043818615,47.1303672319251,"Meadow","Kimmeridgian",2.23,11.92,37.8,24.6,37.72,44.88,96.6
3.675,4.293,6.86710387900964,47.1501038137348,"Pasture","Sequanian",0.89,8.6,37.68,4.4,22.96,26.76,66
3.681,5.69,6.86694590228757,47.1626361748436,"Pasture","Kimmeridgian",1.898,12.64,54,15.16,28.36,59.2,86
2.461,3.423,6.85133696573647,47.1421844279959,"Tillage","Quaternary",0.37,3.14,22.6,15.72,6.08,29.36,47.2
4.576,1.411,6.87939896327339,47.1243346055021,"Meadow","Kimmeridgian",1.38,11.28,37.6,15.64,25.76,34.44,71.6
2.223,0.58,6.84870725560052,47.1166583867381,"Meadow","Kimmeridgian",0.285,9.6,38,14.16,24.52,44,76
3.031,1.201,6.85918827292399,47.1223061578024,"Meadow","Sequanian",0.61,6.44,21.84,16.4,10.36,52.56,51.24
3.347,2.505,6.8631075412775,47.1340336383552,"Forest","Kimmeridgian",0.625,6.96,33.2,5.36,19.2,41.2,43.6
2.465,4.003,6.85128964532466,47.1473877052044,"Meadow","Argovian",0.325,3.192,21.4,9.72,4.72,24.64,35.08
3.175,2.102,6.86092180261631,47.1304022631189,"Meadow","Kimmeridgian",1.985,12.2,38.4,18.92,37.2,42.68,89.84
3.733,0.974,6.86842570051673,47.1203359902615,"Meadow","Kimmeridgian",0.95,8.92,40.8,15.4,26.52,36.6,74
3.085,1.677,6.85981473343551,47.1265812606719,"Meadow","Kimmeridgian",2.04,11.8,40.4,26.2,29.8,63.92,107.2
2.595,3.638,6.85305664410277,47.1441258931387,"Meadow","Quaternary",0.325,3.712,14.52,17.52,4.76,44.4,40.8
4.279,3.283,6.8751925430493,47.1410999846283,"Meadow","Kimmeridgian",0.83,13.36,33.6,19.2,24.64,36.36,84.4
2.933,0.978,6.8579421681409,47.1202964276519,"Pasture","Sequanian",0.8,12.4,31.44,166.4,16,146.8,100.4
3.59,4.033,6.86603353713626,47.1477634948898,"Pasture","Sequanian",2.08,7.92,56.4,11.52,24.84,37.56,79.6
2.883,1.237,6.85724272110642,47.122615056933,"Meadow","Argovian",2.55,8.52,31.24,12.12,16.12,36.56,96.96
2.429,1.62,6.85122760312259,47.1260075009605,"Meadow","Sequanian",2.535,11.84,52.4,31.96,26.64,77.6,126.8
2.333,2.417,6.84983229759769,47.1331478280679,"Meadow","Quaternary",1.435,9.12,37.44,53.2,21.32,107.6,110.32
0.626,1.652,6.82759384739021,47.1261196343189,"Forest","Kimmeridgian",0.375,7.28,33.32,4.2,14.4,37.12,46.4
2.969,0.778,6.85844804057565,47.1185057290331,"Pasture","Kimmeridgian",1.93,12.44,43.04,77.32,33.76,157.28,166.28
0.971,1.576,6.8321283602458,47.125471722272,"Meadow","Sequanian",1.215,10.08,29.28,9.8,15.2,35.64,64
1.392,1.846,6.83759843031631,47.1279348258186,"Meadow","Sequanian",1.05,10.6,39.24,7.44,20,37.68,48.4
2.54,3.32,6.8523902653655,47.1412680171164,"Meadow","Sequanian",1.26,9.76,45.32,17.2,17.6,53.6,62.8
1.738,1.771,6.84214590757829,47.1272955863718,"Meadow","Sequanian",0.685,11.92,33.64,19.64,16.24,41.6,76
2.243,3.031,6.84854682794024,47.1386470981392,"Meadow","Sequanian",0.705,11.8,29.92,19.2,14.6,34,59.88
3.656,2.63,6.86713641961602,47.1351840292778,"Forest","Kimmeridgian",1.385,2.072,9.72,9.232,5.36,80.4,49.2
2.325,4.143,6.84943009605847,47.1486301675486,"Meadow","Argovian",0.505,5.48,34,14,10.92,33.24,54.4
4.55,1.416,6.87905740785254,47.1243770540901,"Meadow","Kimmeridgian",1.74,12.4,44.32,18.1,27.72,41.6,73.6
4.325,1.436,6.87610552119708,47.1245356165548,"Meadow","Quaternary",0.56,11.6,26.92,19.4,13.72,36.76,57.2
3.669,4.291,6.86702555254837,47.1500853095169,"Pasture","Sequanian",1.917,8.44,33.48,8.4,18.72,35.12,59.6
1.877,1.186,6.84406883207572,47.1220612489902,"Meadow","Argovian",0.32,3.8,18.2,26.16,6.44,45.2,39.88
3.044,1.123,6.85937193031932,47.121607685341,"Meadow","Sequanian",0.63,12,31.28,18.04,18.68,38.24,80.76
3.001,2.581,6.85855957109578,47.1346826770714,"Pasture","Kimmeridgian",4.18,9.6,45.32,8.2,22.2,42.04,81.72
3.136,2.091,6.86041254209351,47.1302998979175,"Meadow","Kimmeridgian",1.11,14.2,34.8,17.92,30.32,38.72,79
2.633,3.65,6.85355274114234,47.1442371657291,"Meadow","Quaternary",0.425,3.092,22.12,16.2,5.04,50.4,61.6
3.721,4.239,6.8677161193286,47.1496237214767,"Meadow","Sequanian",0.28,8,25.96,18,12.28,41.2,46.4
2.333,2.367,6.84984090794178,47.1326993015478,"Meadow","Quaternary",1.39,12.36,42.12,59.16,28.2,101.92,135.88
4.038,2.354,6.87218987549347,47.1327438978467,"Forest","Portlandian",2.805,12.2,39.2,10.5,32.92,44,65.6
3.117,1.702,6.86022983536411,47.1268085539684,"Meadow","Kimmeridgian",1.71,14.12,42.8,30,35,58.6,106.36
1.824,0.999,6.84340671999887,47.1203786412296,"Meadow","Argovian",0.165,3.752,18.6,23.64,7.08,56.4,44
