"Xloc","Yloc","long","lat","Landuse","Rock","Cd","Co","Cr","Cu","Ni","Pb","Zn"
2.85,1.89,6.8566986069566,47.1284696946941,"Forest","Kimmeridgian",1.36,2.816,10.76,8.68,7.08,53.6,28.88
2.502,3.988,6.85177730080343,47.1472566861475,"Meadow","Argovian",0.24,3.76,18.92,20.72,5.2,22.36,32.24
1.443,1.509,6.83832548366375,47.1249167149578,"Meadow","Quaternary",1.445,7.76,61.2,15.4,20.68,50.8,75.6
2.008,1.35,6.84575710276351,47.1235450453185,"Meadow","Argovian",0.515,5,32.56,16.04,8.96,35.04,50.4
2.978,4.009,6.85801414666161,47.1474904063834,"Meadow","Quaternary",0.56,6.52,24.4,8.352,12.4,25.4,49.2
1.662,1.425,6.84120998734512,47.1241844282751,"Meadow","Sequanian",0.905,11.24,37.4,44.4,16.56,82,78.4
1.587,1.08,6.84028710586281,47.1210823278081,"Meadow","Argovian",0.605,5.16,29.28,26.24,11.44,54,54
3.994,3.814,6.87136703300482,47.1458367941953,"Meadow","Quaternary",2.423,14.48,45.6,32.52,28.32,80.4,84
4.383,2.279,6.87672424130131,47.1321031971196,"Forest","Kimmeridgian",0.785,7.84,35.92,6.72,22.72,43.6,60.8
2.901,4.919,6.85684897946617,47.1556462517875,"Forest","Argovian",0.81,4.64,28.6,5.48,14.92,28.8,42
4.156,1.242,6.87392346034181,47.1227796130673,"Pasture","Portlandian",1.1,7.84,32.2,5.72,17.92,32.48,44
4.475,3.526,6.87772112827474,47.1432980155769,"Tillage","Kimmeridgian",0.951,15.28,29.24,38.96,20.36,78.8,70.8
2.58,3.654,6.85285725562259,47.1442679892376,"Meadow","Quaternary",0.275,3.552,16.2,7.48,4.64,20.2,33.44
0.701,1.997,6.82851607984832,47.1292218331456,"Forest","Sequanian",1.58,12.6,60.8,9.84,32.2,64.8,86
3.649,3.887,6.86683177767562,47.1464593403363,"Meadow","Kimmeridgian",1.06,11.48,41.6,26.44,29.24,51.2,80.8
2.623,0.853,6.85390150494787,47.1191456150987,"Meadow","Sequanian",2.58,11.64,45.2,29.24,27.36,59.2,106.4
1.315,1.975,6.83656681619138,47.1290845320905,"Pasture","Sequanian",3.68,11.12,52,14.44,28.72,56.4,89.6
3.656,2.67,6.86712964702689,47.1355428513225,"Forest","Kimmeridgian",1.875,11.12,36.12,9.52,25.4,70,65.2
4.426,0.821,6.87753212357542,47.1190280694968,"Pasture","Kimmeridgian",0.805,13,48.32,8.76,26,27.2,61.6
2.882,3.693,6.8568096290632,47.144646607301,"Meadow","Quaternary",0.535,4.6,20.8,8.76,5.4,27.04,32.92
1.108,1.535,6.83393088332277,47.1251173221298,"Pasture","Sequanian",2.055,8.08,50.4,60,23.16,195.6,108
4.84,1.089,6.88291222986192,47.1214704287184,"Pasture","Kimmeridgian",0.555,10.28,27.64,10.8,19.6,36.52,64.8
1.468,2.192,6.83853420614369,47.1310460106606,"Pasture","Sequanian",1.51,10.92,57.6,10.88,30.68,44.4,80.4
2.319,4.103,6.84935832670542,47.1482707723847,"Meadow","Argovian",0.58,5.48,36,20.52,10.92,34.88,50.4
3.585,4.04,6.86596679881585,47.1478258186317,"Pasture","Sequanian",1.97,8,51.2,24.64,25.76,66,99.2
3.647,3.786,6.86682266732307,47.145553129186,"Meadow","Kimmeridgian",0.765,13.84,29.72,42,20.96,70.8,90.8
2.31,2.732,6.84947657945482,47.135971339456,"Pasture","Kimmeridgian",0.735,12.72,39,17.68,23.24,39.2,79.04
3.962,2.009,6.87125194456427,47.129641959163,"Meadow","Kimmeridgian",1.445,12.4,43.52,42.92,34.4,78.4,104.4
3.47,5.555,6.86420179697911,47.1614053174308,"Pasture","Kimmeridgian",2.234,13.48,45.2,12.52,29.68,48.4,64
1.839,0.995,6.84360396603473,47.1203442073088,"Meadow","Argovian",0.225,4.24,24.88,27.72,10.12,55.6,56
1.706,1.165,6.84183169957793,47.1218563465436,"Meadow","Argovian",0.74,4.36,20.4,25.52,8.68,60.8,62.4
2.774,1.544,6.85576182012414,47.1253586560286,"Pasture","Sequanian",1.915,8.44,42.32,19.32,20.64,45.72,90.24
3.493,5.092,6.86458203973463,47.1572541433958,"Pasture","Argovian",3.421,9.8,52.4,14.8,20.44,34.32,134.4
1.695,3.227,6.84132959915425,47.1403524977519,"Forest","Argovian",1.835,5.88,35.08,10.88,21.44,56.68,97.48
4.409,1.084,6.87726529840616,47.121385760963,"Meadow","Quaternary",1.77,17.32,37.72,18.92,27,48.8,89.2
2.596,3.212,6.85314289281631,47.1403045487997,"Pasture","Sequanian",3.995,8.64,49.72,15.92,22,45.16,118.24
1.897,1.22,6.84432502600904,47.1223681769258,"Meadow","Argovian",0.26,3.48,16.24,9.24,4.76,27,27.2
2.083,1.695,6.84668034381256,47.1266471000958,"Forest","Kimmeridgian",0.44,6,29.28,11.28,16.68,56.4,54.8
3.673,4.278,6.86708019782485,47.1499690682106,"Pasture","Sequanian",1.015,9.28,44,7.36,19.28,34,70.4
2.731,3.002,6.85494852161099,47.1384336109236,"Forest","Kimmeridgian",0.485,9,27.32,6.6,20.92,32.44,57.96
4.264,3.391,6.87497776700025,47.1420674097906,"Meadow","Kimmeridgian",2.828,11.16,32.64,79.2,24.96,135.2,132.8
3.792,2.707,6.8689059868589,47.1358875123398,"Forest","Kimmeridgian",1.38,8.16,26.92,6.44,17.12,45.6,55.2
3.39,1.048,6.86391860969472,47.1209675830985,"Pasture","Kimmeridgian",1.66,10.12,42.92,24.6,29.32,57.28,123.32
3.184,5.075,6.86053314112383,47.1570724824336,"Meadow","Sequanian",0.685,7.08,33.76,11.36,16.32,23.68,53.6
3.644,2.677,6.8669711740089,47.1356045187987,"Forest","Kimmeridgian",0.93,9.56,37.4,6.772,23.12,51.2,56.4
3.504,5.13,6.8647198265611,47.1575960579532,"Pasture","Argovian",5.129,8.6,39.24,14.76,18.28,36.8,135.6
2.242,3.036,6.84853285769099,47.1386918547454,"Meadow","Sequanian",0.725,10.32,26.32,17,12.72,34.08,56.72
3.332,4.628,6.86254985967458,47.1530766532689,"Pasture","Quaternary",0.74,4.52,35.92,96,17.2,59.2,83.2
3.498,3.196,6.86496944323813,47.1402465089237,"Pasture","Kimmeridgian",0.99,15.12,32.8,14.5,22.92,36.24,65.6
1.883,1.176,6.84414918708205,47.1219721224414,"Meadow","Argovian",0.195,3.92,21.8,25.12,7.52,49.6,43.2
3.322,3.001,6.86269552111858,47.1384806692273,"Meadow","Quaternary",1.34,14.32,35,25.3,23.12,44.4,81.2
1.047,1.922,6.83306377495555,47.128582953413,"Pasture","Sequanian",1.24,14.2,43.6,18.32,22.52,52,83.2
3.843,3.121,6.86950453140601,47.1396060942823,"Meadow","Quaternary",1.84,10.8,39.52,33.32,35.28,44.4,86
1.301,0.599,6.83662332448515,47.1167397187597,"Tillage","Sequanian",0.91,13.24,32.84,21.2,18,64.8,75.2
1.106,1.548,6.83390240085876,47.1252337436294,"Pasture","Sequanian",1.27,9.16,52.8,19.12,19.44,65.2,65.2
1.114,1.535,6.83400951145666,47.1251179079621,"Pasture","Sequanian",1.48,9.12,58.8,106.8,26.16,226.4,140.4
1.511,0.734,6.83935140232099,47.1179711501744,"Pasture","Argovian",1.245,7.84,47.2,22.64,21.96,64.4,71.2
1.317,1.501,6.83667569352567,47.1248326989969,"Meadow","Quaternary",1.385,6.44,42.8,120.8,19.64,66.4,94.8
1.439,1.523,6.83827062739476,47.1250419137883,"Meadow","Quaternary",1.72,7.24,54.8,16.4,16.52,52.4,75.6
1.651,1.157,6.84111237395957,47.1217792591548,"Tillage","Argovian",0.525,3.88,20.84,26.28,8.36,46.4,49.6
1.701,1.169,6.84176548595866,47.1218917449789,"Meadow","Argovian",0.69,4.24,23.48,17.04,9.04,52.4,45.6
1.857,0.659,6.84389801205815,47.1173318398864,"Pasture","Sequanian",3.53,10.08,52.8,66,24.44,118,124.8
1.346,1.954,6.8369767531956,47.1288991680873,"Pasture","Sequanian",0.93,10.56,39.04,9,20.24,38.12,69.2
1.354,1.966,6.83707950617109,47.1290075926366,"Pasture","Sequanian",1.165,10.72,43.6,8.64,24,38.32,59.6
1.35,1.97,6.83702638621482,47.1290430855651,"Pasture","Sequanian",3.81,10.12,60.8,17.92,27.08,64.8,102
1.932,1.004,6.84482103817839,47.1204339139829,"Meadow","Argovian",0.135,4.52,15.08,10.44,5.24,37,32.56
1.837,1.037,6.84357048386121,47.120720777175,"Meadow","Argovian",0.215,3.88,23,23.44,8.16,46.8,44
1.69,1.858,6.84150175426541,47.1280713787535,"Meadow","Sequanian",1.775,12.96,38.72,29.76,22.36,54.8,91.6
1.72,1.833,6.84189925511624,47.1278500182488,"Meadow","Sequanian",0.585,11.6,31.68,24.36,15.96,50,76.8
1.543,2.537,6.83945715782953,47.1341481181304,"Meadow","Kimmeridgian",1.563,10.4,45.2,26.72,28.72,52.4,104
2.353,1.274,6.85029117744058,47.1228964159476,"Meadow","Argovian",0.275,4.32,15.4,8.24,4.2,32.56,37.88
1.889,2.462,6.84400514097125,47.1335088060216,"Forest","Kimmeridgian",2.505,10.2,48.4,12.16,31.04,65.2,78.4
2.327,2.417,6.84975365749125,47.1331472530666,"Meadow","Quaternary",1.385,9.68,39.72,58.72,22.6,116.48,123
2.504,1.965,6.85215120379187,47.1291095100235,"Pasture","Kimmeridgian",1.79,10.44,41.84,19.92,25.64,62.36,80.32
2.599,1.996,6.85339092589897,47.1293966687562,"Meadow","Kimmeridgian",2.115,13.16,43.08,61.32,53.2,172.12,133.88
2.561,1.984,6.85289496678636,47.1292853950877,"Pasture","Kimmeridgian",1.63,13.56,51.36,18.08,42.92,63.16,77.4
2.898,1.274,6.8574329595734,47.12294839234,"Meadow","Argovian",2.7,6.52,32.76,15.56,15,38.28,99.6
2.902,1.263,6.85748725618904,47.1228500959897,"Meadow","Argovian",4.495,10.32,39.16,10.24,22.64,32.92,101.68
3.085,1.214,6.8598936751461,47.1224278901399,"Meadow","Sequanian",0.765,7.68,18.52,37.6,11.28,68.4,86.2
3.046,1.205,6.85938415133007,47.1223434613291,"Meadow","Sequanian",0.4,11.16,21.64,9.6,13.36,32.76,44
3.025,1.201,6.85910964864891,47.1223055892039,"Meadow","Sequanian",0.32,5.6,18.52,12.92,7.2,40.2,43.72
2.04,3.153,6.8458648061895,47.1397219866747,"Meadow","Argovian",0.655,5,16.56,17.2,8.24,41.88,51.24
2.234,2.737,6.84847955682381,47.1360089016582,"Pasture","Kimmeridgian",1.11,14.6,39.28,10.28,24.44,47.8,71.12
2.22,2.732,6.8482969158412,47.1359627051362,"Pasture","Kimmeridgian",0.77,12.28,43.48,16,23.88,44.4,62.28
2.224,2.728,6.8483500351908,47.1359272070534,"Pasture","Kimmeridgian",1.205,13.8,46.84,11.36,27.44,41.04,85.52
2.58,2.311,6.85308784634677,47.1322205754492,"Pasture","Kimmeridgian",1.555,8.84,40.16,15.4,23.92,51.24,77.56
2.254,3.045,6.8486886024177,47.1387737410138,"Meadow","Sequanian",0.575,9.68,27.12,31.8,13.2,54.28,66.92
2.656,2.656,6.85402476933381,47.1353226604781,"Meadow","Kimmeridgian",0.525,12.52,26.12,79.2,18,138.56,91.48
3.465,1.393,6.86484285903816,47.1240694936685,"Meadow","Sequanian",0.705,12.52,28.72,48.72,17.6,86.68,96.6
2.553,3.314,6.85256170885227,47.1412154358695,"Meadow","Sequanian",0.99,8.8,38.72,9.28,15.72,38,60.12
2.538,3.314,6.85236507886735,47.1412140029378,"Meadow","Sequanian",1.655,8.96,50.6,31.52,17.32,90.36,81.6
2.402,3.979,6.8504678358523,47.1471663834613,"Meadow","Argovian",0.515,4.08,30.12,13.12,8.2,26.96,43.2
2.456,3.99,6.85117389012023,47.1472702276505,"Meadow","Argovian",0.35,3.272,26.32,11.6,4.92,27.68,37.16
2.537,3.768,6.85227396167716,47.1452865201186,"Meadow","Argovian",0.23,3.792,18.2,8.72,5.68,26.84,32.08
2.584,3.649,6.85291055192133,47.1442235186038,"Meadow","Quaternary",0.305,3.72,18,17.12,5.6,48.4,44.8
3.887,1.663,6.87032739622113,47.126531133533,"Meadow","Kimmeridgian",1.535,15.2,40.72,29.6,32.4,56.8,85.6
4.412,1.088,6.87730393970137,47.1214219214346,"Meadow","Quaternary",1.53,17.72,39.52,17.72,26.4,47.6,80.8
2.795,3.645,6.85567732221578,47.1442077490497,"Meadow","Quaternary",0.3,4.24,17.32,13.4,6.32,37.76,27.12
2.837,3.679,6.85622209739572,47.1445167420865,"Meadow","Quaternary",0.425,5.08,22.72,4.68,8,22.56,31.48
2.832,3.676,6.85615706354171,47.1444893550209,"Meadow","Quaternary",0.36,6.68,26.12,4.44,11.8,18.96,28.92
3.308,2.963,6.86251847266547,47.1381384675691,"Meadow","Quaternary",1.06,17.32,36,28,23.92,50,78.4
3.422,2.851,6.86403179944335,47.1371445166958,"Meadow","Sequanian",0.9,9.52,38.72,49,26.2,70.4,94.8
3.692,2.43,6.86764212511558,47.1333932962754,"Forest","Kimmeridgian",1.61,5,19.4,9.44,8.76,42.8,31.16
4.331,1.449,6.87618196800247,47.1246527911459,"Meadow","Quaternary",0.95,12,29.2,19.6,18.72,37.88,61.2
4.333,1.455,6.87620717074573,47.1247068003084,"Meadow","Quaternary",0.82,10.32,29.8,32.1,16.72,63.2,67.6
4.502,1.167,6.87847006515596,47.1221389350211,"Meadow","Quaternary",0.86,12.12,28.4,12.7,20.12,37.08,61.6
3.228,3.617,6.86135846760338,47.1439976393606,"Meadow","Kimmeridgian",1.835,13.32,47.4,45.92,24,80.4,90
3.768,2.775,6.8685799125044,47.1364952617391,"Forest","Kimmeridgian",0.22,10.8,26.32,6.672,17.52,31.88,45.2
3.768,2.675,6.86859681979262,47.1355982065547,"Forest","Kimmeridgian",1.095,12.12,41.32,6.2,28.8,46.8,56.8
3.798,2.694,6.86898682826963,47.1357714570442,"Forest","Kimmeridgian",0.995,9.68,32.8,5.38,19.12,51.2,54
4.59,1.414,6.87958192579323,47.1243628115198,"Meadow","Kimmeridgian",0.96,11.72,35.2,16.4,21.92,30.76,64.8
4.571,1.407,6.87933410932101,47.1242982608348,"Meadow","Kimmeridgian",1.4,10.72,38.64,15.24,26.4,38.4,70.8
4.745,1.372,6.88162014482879,47.124000356044,"Meadow","Kimmeridgian",0.69,11.96,35.64,16.44,23.68,34.12,66.4
4.788,1.647,6.88213777842844,47.1264712327439,"Meadow","Kimmeridgian",0.72,8.8,34.08,11.4,26.72,32.68,63.2
2.974,4.937,6.85780309398148,47.1558146537629,"Pasture","Argovian",2.26,5.88,36.44,12.64,21.52,36.28,77.6
2.906,4.922,6.85691402724101,47.1556736383898,"Forest","Argovian",1.13,4.32,20.32,5.92,13.2,21.6,32.84
3.109,4.729,6.85960874213761,47.1539615904856,"Meadow","Argovian",0.645,3.124,22.68,8.4,8.88,28.56,42.4
3.04,4.713,6.85870676045944,47.1538115237024,"Meadow","Argovian",0.63,3.668,23.96,7.24,9.36,26,36.64
3.919,3.466,6.87044253568481,47.1427080400727,"Meadow","Quaternary",0.86,9.76,28.4,12.8,17.48,28.6,58.8
4.189,3.045,6.87405278730922,47.1389566230697,"Meadow","Portlandian",1.645,8.08,46.4,35.6,20.32,67.6,90.4
3.652,4.312,6.8667991100748,47.1502720944659,"Forest","Sequanian",3.149,10.72,51.2,8.24,27.72,56,98
3.894,3.805,6.87005756976884,47.1457467146941,"Meadow","Quaternary",0.552,14.32,29,50,20.12,91.2,79.2
3.917,3.773,6.87036449713703,47.1454618081918,"Meadow","Quaternary",1.568,13.56,30.36,18.4,22.28,43.6,71.6
3.925,3.779,6.87046836231918,47.1455163792459,"Meadow","Quaternary",0.855,14.24,29.2,11.4,21,29.68,59.6
4.252,3.292,6.87483709639823,47.1411782097684,"Meadow","Kimmeridgian",0.733,11.8,26,39.2,22.24,65.6,74
4.292,3.29,6.87536178019167,47.1411639865267,"Meadow","Kimmeridgian",2.08,11.92,31.68,71.6,28.64,52.8,110.8
4.283,3.278,6.8752458176232,47.1410555036042,"Meadow","Kimmeridgian",0.844,13.88,37.12,21.04,26.48,34.68,90
3.53,4.999,6.86508299136898,47.1564233690091,"Forest","Argovian",0.49,7.44,34.52,4.64,16.76,31.64,56.8
4.07,4.157,6.87230559152353,47.1489207792002,"Meadow","Sequanian",1.916,14.36,47.6,45.6,28.44,50,90.8
4.61,3.315,6.87952616570845,47.1414177223067,"Forest","Kimmeridgian",1.384,12.68,30.76,7.48,20.72,48,46.8
3.605,5.345,6.86600775134683,47.1595342151085,"Meadow","Sequanian",0.849,9.04,29.48,18.4,17.56,35,58
